2022-03-03 15:12:04,258 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:12:04,626 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:12:04,646 - movie_logger - INFO - 1-클라우스 영화 제목 클릭... :
2022-03-03 15:12:05,749 - movie_logger - INFO - 영화 평점 클릭... :
2022-03-03 15:12:05,772 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 15:12:05,791 - movie_logger - INFO - iframe으로 전환
2022-03-03 15:12:09,342 - movie_logger - INFO - 79,클라우스
2022-03-03 15:12:09,372 - movie_logger - INFO - 80,클라우스
2022-03-03 15:12:09,506 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:12:09,546 - movie_logger - INFO - 81,클라우스
2022-03-03 15:12:09,577 - movie_logger - INFO - 82,클라우스
2022-03-03 15:12:09,608 - movie_logger - INFO - 83,클라우스
2022-03-03 15:12:09,641 - movie_logger - INFO - 84,클라우스
2022-03-03 15:12:09,673 - movie_logger - INFO - 85,클라우스
2022-03-03 15:12:09,706 - movie_logger - INFO - 86,클라우스
2022-03-03 15:12:09,737 - movie_logger - INFO - 87,클라우스
2022-03-03 15:12:09,768 - movie_logger - INFO - 88,클라우스
2022-03-03 15:12:09,801 - movie_logger - INFO - 89,클라우스
2022-03-03 15:12:09,834 - movie_logger - INFO - 90,클라우스
2022-03-03 15:12:09,974 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:12:10,013 - movie_logger - INFO - 91,클라우스
2022-03-03 15:12:10,044 - movie_logger - INFO - 92,클라우스
2022-03-03 15:12:10,077 - movie_logger - INFO - 93,클라우스
2022-03-03 15:12:10,109 - movie_logger - INFO - 94,클라우스
2022-03-03 15:12:10,145 - movie_logger - INFO - 95,클라우스
2022-03-03 15:12:10,177 - movie_logger - INFO - 96,클라우스
2022-03-03 15:12:10,210 - movie_logger - INFO - 97,클라우스
2022-03-03 15:12:10,245 - movie_logger - INFO - 98,클라우스
2022-03-03 15:12:10,277 - movie_logger - INFO - 99,클라우스
2022-03-03 15:12:10,310 - movie_logger - INFO - 100,클라우스
2022-03-03 15:12:10,437 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:12:10,479 - movie_logger - INFO - 101,클라우스
2022-03-03 15:12:10,516 - movie_logger - INFO - 102,클라우스
2022-03-03 15:12:10,546 - movie_logger - INFO - 103,클라우스
2022-03-03 15:12:10,579 - movie_logger - INFO - 104,클라우스
2022-03-03 15:12:10,610 - movie_logger - INFO - 105,클라우스
2022-03-03 15:12:10,641 - movie_logger - INFO - 106,클라우스
2022-03-03 15:12:10,674 - movie_logger - INFO - 107,클라우스
2022-03-03 15:12:10,706 - movie_logger - INFO - 108,클라우스
2022-03-03 15:12:10,739 - movie_logger - INFO - 109,클라우스
2022-03-03 15:12:10,781 - movie_logger - INFO - 110,클라우스
2022-03-03 15:12:10,921 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:12:10,961 - movie_logger - INFO - 111,클라우스
2022-03-03 15:12:10,993 - movie_logger - INFO - 112,클라우스
2022-03-03 15:12:11,026 - movie_logger - INFO - 113,클라우스
2022-03-03 15:12:11,059 - movie_logger - INFO - 114,클라우스
2022-03-03 15:12:11,095 - movie_logger - INFO - 115,클라우스
2022-03-03 15:12:11,130 - movie_logger - INFO - 116,클라우스
2022-03-03 15:12:11,162 - movie_logger - INFO - 117,클라우스
2022-03-03 15:12:11,194 - movie_logger - INFO - 118,클라우스
2022-03-03 15:12:11,229 - movie_logger - INFO - 119,클라우스
2022-03-03 15:12:11,261 - movie_logger - INFO - 120,클라우스
2022-03-03 15:12:11,391 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:12:11,435 - movie_logger - INFO - 121,클라우스
