2022-03-07 17:03:26,954 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-07 17:03:27,353 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-07 17:03:27,372 - movie_logger - INFO - 1-클라우스 영화 제목 클릭... :
2022-03-07 17:03:28,605 - movie_logger - INFO - 영화 평점 클릭... :
2022-03-07 17:03:28,628 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-07 17:03:28,652 - movie_logger - INFO - iframe으로 전환
2022-03-07 17:03:32,336 - movie_logger - INFO - 79,클라우스
2022-03-07 17:03:32,369 - movie_logger - INFO - 80,클라우스
2022-03-07 17:03:32,515 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:32,556 - movie_logger - INFO - 81,클라우스
2022-03-07 17:03:32,589 - movie_logger - INFO - 82,클라우스
2022-03-07 17:03:32,621 - movie_logger - INFO - 83,클라우스
2022-03-07 17:03:32,655 - movie_logger - INFO - 84,클라우스
2022-03-07 17:03:32,688 - movie_logger - INFO - 85,클라우스
2022-03-07 17:03:32,723 - movie_logger - INFO - 86,클라우스
2022-03-07 17:03:32,754 - movie_logger - INFO - 87,클라우스
2022-03-07 17:03:32,785 - movie_logger - INFO - 88,클라우스
2022-03-07 17:03:32,817 - movie_logger - INFO - 89,클라우스
2022-03-07 17:03:32,848 - movie_logger - INFO - 90,클라우스
2022-03-07 17:03:32,988 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:33,028 - movie_logger - INFO - 91,클라우스
2022-03-07 17:03:33,059 - movie_logger - INFO - 92,클라우스
2022-03-07 17:03:33,094 - movie_logger - INFO - 93,클라우스
2022-03-07 17:03:33,128 - movie_logger - INFO - 94,클라우스
2022-03-07 17:03:33,162 - movie_logger - INFO - 95,클라우스
2022-03-07 17:03:33,197 - movie_logger - INFO - 96,클라우스
2022-03-07 17:03:33,231 - movie_logger - INFO - 97,클라우스
2022-03-07 17:03:33,265 - movie_logger - INFO - 98,클라우스
2022-03-07 17:03:33,299 - movie_logger - INFO - 99,클라우스
2022-03-07 17:03:33,331 - movie_logger - INFO - 100,클라우스
2022-03-07 17:03:33,471 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:33,512 - movie_logger - INFO - 101,클라우스
2022-03-07 17:03:33,547 - movie_logger - INFO - 102,클라우스
2022-03-07 17:03:33,579 - movie_logger - INFO - 103,클라우스
2022-03-07 17:03:33,611 - movie_logger - INFO - 104,클라우스
2022-03-07 17:03:33,644 - movie_logger - INFO - 105,클라우스
2022-03-07 17:03:33,677 - movie_logger - INFO - 106,클라우스
2022-03-07 17:03:33,712 - movie_logger - INFO - 107,클라우스
2022-03-07 17:03:33,743 - movie_logger - INFO - 108,클라우스
2022-03-07 17:03:33,776 - movie_logger - INFO - 109,클라우스
2022-03-07 17:03:33,809 - movie_logger - INFO - 110,클라우스
2022-03-07 17:03:33,947 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:33,987 - movie_logger - INFO - 111,클라우스
2022-03-07 17:03:34,019 - movie_logger - INFO - 112,클라우스
2022-03-07 17:03:34,053 - movie_logger - INFO - 113,클라우스
2022-03-07 17:03:34,089 - movie_logger - INFO - 114,클라우스
2022-03-07 17:03:34,124 - movie_logger - INFO - 115,클라우스
2022-03-07 17:03:34,207 - movie_logger - INFO - 116,클라우스
2022-03-07 17:03:34,243 - movie_logger - INFO - 117,클라우스
2022-03-07 17:03:34,276 - movie_logger - INFO - 118,클라우스
2022-03-07 17:03:34,310 - movie_logger - INFO - 119,클라우스
2022-03-07 17:03:34,347 - movie_logger - INFO - 120,클라우스
2022-03-07 17:03:34,491 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:34,534 - movie_logger - INFO - 121,클라우스
2022-03-07 17:03:34,566 - movie_logger - INFO - 122,클라우스
2022-03-07 17:03:34,599 - movie_logger - INFO - 123,클라우스
2022-03-07 17:03:34,632 - movie_logger - INFO - 124,클라우스
2022-03-07 17:03:34,665 - movie_logger - INFO - 125,클라우스
2022-03-07 17:03:34,700 - movie_logger - INFO - 126,클라우스
2022-03-07 17:03:34,734 - movie_logger - INFO - 127,클라우스
2022-03-07 17:03:34,772 - movie_logger - INFO - 128,클라우스
2022-03-07 17:03:34,806 - movie_logger - INFO - 129,클라우스
2022-03-07 17:03:34,844 - movie_logger - INFO - 130,클라우스
2022-03-07 17:03:34,985 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:35,025 - movie_logger - INFO - 131,클라우스
2022-03-07 17:03:35,059 - movie_logger - INFO - 132,클라우스
2022-03-07 17:03:35,095 - movie_logger - INFO - 133,클라우스
2022-03-07 17:03:35,131 - movie_logger - INFO - 134,클라우스
2022-03-07 17:03:35,164 - movie_logger - INFO - 135,클라우스
2022-03-07 17:03:35,198 - movie_logger - INFO - 136,클라우스
2022-03-07 17:03:35,234 - movie_logger - INFO - 137,클라우스
2022-03-07 17:03:35,275 - movie_logger - INFO - 138,클라우스
2022-03-07 17:03:35,313 - movie_logger - INFO - 139,클라우스
2022-03-07 17:03:35,348 - movie_logger - INFO - 140,클라우스
2022-03-07 17:03:35,488 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:35,531 - movie_logger - INFO - 141,클라우스
2022-03-07 17:03:35,565 - movie_logger - INFO - 142,클라우스
2022-03-07 17:03:35,601 - movie_logger - INFO - 143,클라우스
2022-03-07 17:03:35,635 - movie_logger - INFO - 144,클라우스
2022-03-07 17:03:35,669 - movie_logger - INFO - 145,클라우스
2022-03-07 17:03:35,704 - movie_logger - INFO - 146,클라우스
2022-03-07 17:03:35,738 - movie_logger - INFO - 147,클라우스
2022-03-07 17:03:35,772 - movie_logger - INFO - 148,클라우스
2022-03-07 17:03:35,807 - movie_logger - INFO - 149,클라우스
2022-03-07 17:03:35,841 - movie_logger - INFO - 150,클라우스
2022-03-07 17:03:35,985 - movie_logger - INFO - 다음 페이지 클릭
2022-03-07 17:03:36,028 - movie_logger - INFO - 151,클라우스
2022-03-07 17:03:36,063 - movie_logger - INFO - 152,클라우스
2022-03-07 17:03:36,097 - movie_logger - INFO - 153,클라우스
2022-03-07 17:03:36,132 - movie_logger - INFO - 154,클라우스
2022-03-07 17:03:36,166 - movie_logger - INFO - 155,클라우스
2022-03-07 17:03:36,202 - movie_logger - INFO - 156,클라우스
2022-03-07 17:03:36,236 - movie_logger - INFO - 157,클라우스
2022-03-07 17:03:36,270 - movie_logger - INFO - 158,클라우스
2022-03-07 17:03:36,304 - movie_logger - INFO - 159,클라우스
2022-03-07 17:03:36,338 - movie_logger - INFO - 160,클라우스
